0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,3,3
4,4,0,0,2,0,8,1,0,4,0,0,0,3,3
4,4,0,0,2,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,2,2,0,0,2,2,2,2,0,0,0,0
0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,3,3,0,0
0,0,0,0,1,1,1,0,0,0,0,3,3,0,0
0,0,0,0,1,8,1,0,0,0,0,0,0,0,0
3,3,3,3,1,1,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,2,2,0,0,0,0,0,0,0,0,0
4,4,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,4,4,4,4,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,8,1,5,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
